"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         251,       -4.39204106,      -1.942603119,      -2.348047571,      0.6610042639
          0,           0,         252,      -4.400323398,      -1.953196487,      -2.360470555,      0.6431862616
          0,           0,         253,       -4.40707895,      -1.960279479,      -2.370166089,      0.6260249321
          0,           0,         254,      -4.412404797,      -1.962466802,      -2.377091881,      0.6135592398
          0,           0,         255,      -4.417074695,      -1.961482546,      -2.382300951,      0.6069327587
          0,           0,         256,      -4.422254839,      -1.961289823,      -2.387056071,      0.6035199251
          0,           0,         257,       -4.42886986,      -1.965156353,      -2.392239999,      0.5997043485
          0,           0,         258,      -4.437148595,      -1.973769822,      -2.398392502,      0.5936981496
          0,           0,         259,      -4.446649057,      -1.985476838,      -2.405977373,       0.585810817
          0,           0,         260,      -4.456647283,      -1.997928154,      -2.415386417,      0.5768309106
          0,           0,         261,      -4.466531746,      -2.009716835,      -2.426611816,      0.5665746944
          0,           0,         262,      -4.475919581,      -2.020623309,      -2.438938468,      0.5540990821
          0,           0,         263,      -4.484534708,      -2.030511576,      -2.451053618,      0.5392040287
          0,           0,         264,      -4.492132028,      -2.038477855,      -2.461643492,      0.5235469875
          0,           0,         265,      -4.498640898,      -2.043472806,       -2.47008239,       0.510054054
          0,           0,         266,      -4.504375332,      -2.045734089,      -2.476658112,      0.5007983912
          0,           0,         267,      -4.510019745,       -2.04720973,      -2.482209161,        0.49533484
          0,           0,         268,       -4.51631977,      -2.050350726,      -2.487605018,      0.4913419834
          0,           0,         269,      -4.523710092,      -2.056551561,      -2.493504357,      0.4866597995
          0,           0,         270,      -4.532154852,      -2.065565422,      -2.500398097,      0.4804742873
          0,           0,         271,      -4.541271705,      -2.076074345,      -2.508660576,      0.4729339298
          0,           0,         272,      -4.550589723,        -2.0867541,      -2.518426692,      0.4641304885
          0,           0,         273,      -4.559729412,      -2.096918819,      -2.529386206,      0.4536838135
          0,           0,         274,      -4.568419937,      -2.106306872,      -2.540739348,      0.4413213922
          0,           0,         275,      -4.576451718,        -2.1145153,      -2.551464086,      0.4277421563
          0,           0,         276,      -4.583706856,      -2.120942467,      -2.560782658,      0.4147460711
          0,           0,         277,      -4.590273853,      -2.125405723,      -2.568504491,      0.4042494222
          0,           0,         278,      -4.596506781,      -2.128689845,      -2.575005761,      0.3969283301
          0,           0,         279,      -4.602913336,      -2.132285937,      -2.580934157,      0.3918265873
          0,           0,         280,      -4.609922735,      -2.137508124,      -2.586926007,       0.387277266
          0,           0,         281,      -4.617699348,      -2.144787034,      -2.593496763,      0.3820533832
          0,           0,         282,      -4.626120129,      -2.153635037,      -2.601033428,      0.3757143316
          0,           0,         283,      -4.634895426,      -2.163158643,      -2.609747421,      0.3681930284
          0,           0,         284,      -4.643716665,      -2.172620145,      -2.619559934,      0.3593432102
          0,           0,         285,      -4.652331874,      -2.181609758,      -2.630028823,      0.3489964119
          0,           0,         286,      -4.660548847,      -2.189838852,      -2.640443945,      0.3374234269
          0,           0,         287,      -4.668239286,       -2.19696778,      -2.650098836,      0.3256270001
          0,           0,         288,      -4.675389735,      -2.202778083,       -2.65858915,      0.3150112848
          0,           0,         289,      -4.682156959,      -2.207517386,      -2.665943928,      0.3065603736
          0,           0,         290,      -4.688846764,      -2.211971843,      -2.672530471,      0.3002241258
          0,           0,         291,      -4.695795739,      -2.217095955,      -2.678852069,      0.2950809454
          0,           0,         292,      -4.703226488,      -2.223497741,      -2.685391094,      0.2900417008
          0,           0,         293,      -4.711170817,      -2.231185487,      -2.692538544,      0.2843901362
          0,           0,         294,      -4.719496207,       -2.23970673,      -2.700550774,      0.2778150003
          0,           0,         295,       -4.72799333,      -2.248492156,      -2.709483255,      0.2701645989
          0,           0,         296,      -4.736454225,      -2.257106332,      -2.719129065,      0.2613320224
          0,           0,         297,      -4.744706493,      -2.265262754,       -2.72903813,      0.2514175643
          0,           0,         298,      -4.752624002,      -2.272726453,      -2.738658215,      0.2409505582
          0,           0,         299,      -4.760150045,      -2.279321557,      -2.747546373,       0.230843152
          0,           0,         300,      -4.767333369,      -2.285086241,      -2.755532135,      0.2219815888
          0,           0,         301,      -4.774337732,      -2.290390825,      -2.762742569,      0.2147326759
          0,           0,         302,      -4.781392764,      -2.295833465,      -2.769504098,      0.2087810242
          0,           0,         303,      -4.788702894,      -2.301952028,      -2.776210208,      0.2034101259
          0,           0,         304,        -4.7963689,      -2.308970352,      -2.783224307,      0.1979262171
          0,           0,         305,      -4.804366215,      -2.316751865,      -2.790820026,      0.1918798776
          0,           0,         306,      -4.812579837,      -2.324949713,      -2.799129606,      0.1850335149
          0,           0,         307,      -4.820860016,      -2.333202557,      -2.808096144,      0.1772677483
          0,           0,         308,       -4.82906373,       -2.34123387,      -2.817463932,      0.1686010885
          0,           0,         309,       -4.83707537,       -2.34884247,      -2.826843443,      0.1593018937
          0,           0,         310,      -4.844822865,      -2.355884656,      -2.835844265,      0.1499226097
          0,           0,         311,      -4.852299682,      -2.362326035,      -2.844215884,      0.1411284032
          0,           0,         312,      -4.859579888,      -2.368320938,      -2.851923119,      0.1333858171
          0,           0,         313,      -4.866803487,      -2.374208446,      -2.859127381,      0.1267370244
          0,           0,         314,      -4.874127444,      -2.380381036,      -2.866105929,      0.1208311298
          0,           0,         315,      -4.881666143,      -2.387105751,      -2.873162976,      0.1151557454
          0,           0,         316,      -4.889454464,      -2.394421825,       -2.88056114,       0.109263012
          0,           0,         317,       -4.89744925,      -2.402169328,      -2.888469955,      0.1028566506
          0,           0,         318,      -4.905558469,      -2.410100597,       -2.89692444,     0.09577441708
          0,           0,         319,      -4.913675068,      -2.417981581,      -2.905805142,     0.08797572935
          0,           0,         320,      -4.921701095,      -2.425631193,      -2.914862404,     0.07958177806
          0,           0,         321,      -4.929563754,      -2.432922043,      -2.923792654,     0.07090995391
          0,           0,         322,      -4.937230839,      -2.439795311,      -2.932341742,     0.06241278134
          0,           0,         323,      -4.944724097,      -2.446300564,      -2.940388057,     0.05450697526
          0,           0,         324,      -4.952118963,      -2.452614595,       -2.94796857,     0.04738887895
          0,           0,         325,      -4.959522045,      -2.458992854,      -2.955246584,     0.04096430966
          0,           0,         326,       -4.96703298,       -2.46566559,      -2.962449307,     0.03493120911
          0,           0,         327,      -4.974709828,      -2.472743337,      -2.969804699,     0.02893350635
          0,           0,         328,      -4.982554851,      -2.480189557,      -2.977489745,     0.02267686394
          0,           0,         329,      -4.990523207,      -2.487864381,      -2.985590541,     0.01596885915
          0,           0,         330,      -4.998544019,       -2.49559555,      -2.994077942,    0.008722534647
          0,           0,         331,      -5.006541368,      -2.503229546,      -3.002810588,   0.0009693965478
          0,           0,         332,      -5.014450227,      -2.510651345,      -3.011574453,   -0.007121479363
          0,           0,         333,      -5.022229364,      -2.517794159,      -3.020151306,     -0.0152623879
          0,           0,         334,      -5.029872426,      -2.524657868,      -3.028389808,    -0.02313317382
          0,           0,         335,      -5.037412675,      -2.531325496,      -3.036248974,    -0.03050538741
          0,           0,         336,      -5.044914872,      -2.537950015,      -3.043799336,    -0.03733132012
          0,           0,         337,      -5.052453877,      -2.544701785,      -3.051189707,    -0.04374375515
